# Volby do zastupitelstev obcí 2026
# Oblast: Česká republika (OBEC)
# Data zveřejněna: 2026-09-22T12:21:10
# Stav: konečné výsledky
# Exportováno: 2026-09-22T12:21:57

Volební strana;Kód strany;Hlasy;Podíl hlasů %;Mandáty;Podíl mandátů %
Hnutí PRO Hodonín;1203;62622;0,07;11;0,02
Sdružení KDU-ČSL, Zelení, TOP 09, NK;1344;52363;0,06;11;0,02
Sdružení Idealisté, NK;1560;45161;0,05;11;0,02
Sdružení TOP 09, STAN, NK;495;18302;0,02;11;0,02
ROZUMNÍ;137;16724;0,02;11;0,02
ZaRegion;747;1514;0,00;11;0,02
Sdružení Zelení, TOP 09, NK;501;57473;0,07;10;0,02
Klidné město;1198;53512;0,06;10;0,02
Sdružení APB, NK;1399;36662;0,04;10;0,02
Koalice KDU-ČSL, Nestraníci;339;23467;0,03;10;0,02
Dobrá volba 2016;1127;12832;0,01;10;0,02
Koalice SOCDEM a „OSN“;1501;121722;0,14;9;0,02
Tábor 2020;136;75029;0,09;9;0,02
Sdružení Zelení, Piráti, TOP 09, NK;1374;39950;0,05;9;0,02
Sdružení Monarchiste.cz, NK;1435;23546;0,03;9;0,02
Sdružení PRO Zdraví, NK;566;23536;0,03;9;0,02
Severočeši.cz;704;17551;0,02;9;0,02
Sdružení KDU-ČSL, ODS, NK;353;14778;0,02;9;0,02
Sdružení COEX, NK;392;11645;0,01;9;0,02
Sdružení KDU-ČSL, STAN, NK;1404;5470;0,01;9;0,02
Sdružení ZaRegion, NK;518;1751;0,00;9;0,02
Ostravak;755;489598;0,56;8;0,01
Koalice Piráti a ProOl;1615;199255;0,23;8;0,01
Sdružení SPD, Trikolora, NK;1491;109165;0,13;8;0,01
Koalice KDU-ČSL, ODS, STAN a TOP 09;1531;105950;0,12;8;0,01
Koalice SPD a PRO 2022;1535;60168;0,07;8;0,01
Sdružení Svobodní, Soukromníci, NK;1430;44084;0,05;8;0,01
Sdružení SOCDEM, KSČM, NK;474;24358;0,03;8;0,01
Sdružení Budoucnost, NK;1521;18940;0,02;8;0,01
Sdružení ZNM, NK;1517;16082;0,02;8;0,01
JISTOTA A BUDOUCNOST;1257;15649;0,02;8;0,01
Hnutí nezávislých, PRO-Kdyňsko;1208;13959;0,02;8;0,01
Zlín 21;797;164582;0,19;7;0,01
Koalice TOP 09, LES, HP a HDK;1530;142949;0,16;7;0,01
Sdružení NEZ, Patrioti ČR, NK;1618;117560;0,14;7;0,01
Koalice STAN a Piráti;1350;92815;0,11;7;0,01
Koalice ŽB a ANO;1412;42270;0,05;7;0,01
Sdružení DV 2016, NK;1376;23325;0,03;7;0,01
Moravské zemské hnutí;1190;17440;0,02;7;0,01
Sdružení HDK, NK;544;12350;0,01;7;0,01
Sdružení STAN, Nestran., NK;1595;8813;0,01;7;0,01
Strana Práv Občanů ZEMANOVCI;724;5211;0,01;7;0,01
Sdružení Suverenita, NK;514;324;0,00;7;0,01
Sdružení Moravané, SPD, Trikolora, NK;1492;605982;0,70;6;0,01
Sdružení HOPB, JIH 12, NK;1422;141334;0,16;6;0,01
Sdružení SPDV, NK;1301;74481;0,09;6;0,01
Koalice Zelení, STAN a TOP 09;1612;67776;0,08;6;0,01
Sdružení KDU-ČSL, Piráti, TOP 09, JsmePro!, NK;1493;55408;0,06;6;0,01
Sdružení Rozumní, NK;493;18099;0,02;6;0,01
Koalice ODS a STAN;1323;17769;0,02;6;0,01
Středočeši2012.cz;773;16578;0,02;6;0,01
Sedma - strana pro Slatiňany, Škrovád, Trpišov, Kunčí, Presy, Podhůru a Kochánovice;179;8421;0,01;6;0,01
PRO PLZEŇ;1014;206355;0,24;5;0,01
Sdružení NS, NK;536;67604;0,08;5;0,01
Sdružení KDU-ČSL, Zelení, Piráti, NK;1370;65116;0,07;5;0,01
Karlovaráci;1028;49816;0,06;5;0,01
Sdružení KAN, NK;382;47127;0,05;5;0,01
Koalice KDU-ČSL a Zelení;303;38605;0,04;5;0,01
Koalice Zelení, STAN, Piráti a TOP 09;1351;31776;0,04;5;0,01
KRÁSNÁ KOPŘIVNICE;1258;26045;0,03;5;0,01
Koalice Nestran., PRO Zdraví;1563;22956;0,03;5;0,01
Sdružení SRDCEM PRO …, NK;1556;20547;0,02;5;0,01
Sdružení STAN, Piráti, NK;1483;18593;0,02;5;0,01
Sdružení DOMOV, NK;1514;15678;0,02;5;0,01
PROZMĚNU;1065;14755;0,02;5;0,01
Koalice Zelení a SOCDEM;227;14322;0,02;5;0,01
Koalice ODS a Nestran.;1589;13840;0,02;5;0,01
DOMOV;1221;13764;0,02;5;0,01
Sdružení SPOZ, NK;483;12870;0,01;5;0,01
Sdružení PRO PLZEŇ, NK;1597;9165;0,01;5;0,01
Sdružení Z 2020, NK;1525;8881;0,01;5;0,01
Sdružení KONS, NK;415;2852;0,00;5;0,01
Koalice Zelení a Piráti;1066;128998;0,15;4;0,01
spOLečně;1192;112285;0,13;4;0,01
Sdružení ODS, USZ, NK;1484;111767;0,13;4;0,01
Sdružení SOCDEM, PP21, NK;1495;105401;0,12;4;0,01
Koalice SNK ED, VČ a PPL;1496;99642;0,11;4;0,01
Hnutí pro Havířov;114;68473;0,08;4;0,01
Vaše Ústí;1128;66336;0,08;4;0,01
Sdružení PATRIOTI, NK;522;58576;0,07;4;0,01
Karlovarská občanská alternativa;182;44195;0,05;4;0,01
Sdružení KDU-ČSL, Zelení, NK;479;39654;0,05;4;0,01
Sdružení SOCDEM, KSČM, SPD, NK;1505;35942;0,04;4;0,01
Sdružení STAN, TOP 09, Hlas, NK;1522;32086;0,04;4;0,01
Sdružení Svobodní, Trikolora, NK;1617;28506;0,03;4;0,01
Podpora občanů;1030;23182;0,03;4;0,01
Koalice KDU-ČSL, STAN a TOP 09;1315;21001;0,02;4;0,01
Koalice Svobodní, SPD a Trikolora;1486;19498;0,02;4;0,01
Sdružení USZ, NK;1332;19342;0,02;4;0,01
Sdružení NI, NK;478;18501;0,02;4;0,01
Koalice ANO a PRO Zdraví;1593;17480;0,02;4;0,01
Sdružení Zelení, JsmePRO!, NK;1553;17081;0,02;4;0,01
LEPŠÍ SEVER;1259;14479;0,02;4;0,01
Sdružení STAN, Piráti, TOP 09, NK;1502;10884;0,01;4;0,01
Sdružení DOMA, NK;555;10213;0,01;4;0,01
Koalice Zelení a OMMO;1057;9997;0,01;4;0,01
Koalice KDU-ČSL, Zelení a TOP 09;1074;9579;0,01;4;0,01
Koalice ODS, TOP 09 a ŠpD;1551;8634;0,01;4;0,01
NEZÁVISLÁ VOLBA;163;5571;0,01;4;0,01
Sdružení ProMOST, NK;1366;943;0,00;4;0,01
Sdružení SPD, Trikolora, PES, NK;1545;1218622;1,40;3;0,01
Koalice Zelení, ŽTB a Idealisté;1554;369539;0,42;3;0,01
Sdružení RH, NK;1564;75186;0,09;3;0,01
ÚSTECKÉ FÓRUM OBČANŮ;1012;63134;0,07;3;0,01
Občané městských částí Opavy;1188;41622;0,05;3;0,01
Pévéčko;1020;38098;0,04;3;0,01
Koalice NV a Změna;1557;38048;0,04;3;0,01
Koalice Praha bez chaosu a Zdraví Sport Prosperita;1083;32666;0,04;3;0,01
Sdružení STAN, MZH, NK;1529;27198;0,03;3;0,01
Koalice TOP 09 a JIH 12;1579;26055;0,03;3;0,01
Koalice ODS, STAN a VČ;1454;17588;0,02;3;0,01
Sdružení OH, NK;1528;17484;0,02;3;0,01
Sdružení S.cz, NK;492;16674;0,02;3;0,01
Sdružení Zelení, SOCDEM, Piráti, NK;1623;14081;0,02;3;0,01
Občané patrioti;1022;13994;0,02;3;0,01
Koalice STAN a MPV;1361;10465;0,01;3;0,01
Bílinští sociální demokraté a nezávislí;745;10316;0,01;3;0,01
Hnutí Správný stát;1007;9636;0,01;3;0,01
Koalice KDU-ČSL, Nestran. a TOP 09;1387;8545;0,01;3;0,01
Koalice SOCDEM, ANO a PRO Zdraví;1592;6818;0,01;3;0,01
Koalice ODS a IO;1567;6086;0,01;3;0,01
Moderní společnost;1063;6006;0,01;3;0,01
Koalice ANO a Trikolora;1614;5607;0,01;3;0,01
A DOST! PRO LEPŠÍ BUDOUCNOST;1253;4488;0,01;3;0,01
Nový směr;793;2382;0,00;3;0,01
Sdružení UFO, NK;1622;1932;0,00;3;0,01
Koalice Zelení a STAN;1585;72973;0,08;2;0,00
Trikolora;1227;23902;0,03;2;0,00
Sdružení NBPLK, NK;550;20745;0,02;2;0,00
Sdružení PŘÍSAHA, NK;1537;18537;0,02;2;0,00
Sdružení KDU-ČSL, Zelení, Piráti, TOP 09, NK;1523;16929;0,02;2;0,00
Koalice VPM a STAN;672;16888;0,02;2;0,00
HODOŇÁCI;1251;14566;0,02;2;0,00
Sdružení ČSNS, KSČM, SPD, NK;1527;14482;0,02;2;0,00
Bezpečná země;1254;13857;0,02;2;0,00
„Volím Orlovou“;733;13190;0,02;2;0,00
PATRIOTI NÁCHODA;1264;13157;0,02;2;0,00
Alternativa pro Vás;1211;11819;0,01;2;0,00
Koalice KSČM a PES;1591;9457;0,01;2;0,00
Sdružení STAN, VČ, NK;1574;9226;0,01;2;0,00
Koalice BEZ-UL a ČiKR;1600;7320;0,01;2;0,00
Sdružení Zelení, SEN 21, NK;1599;6251;0,01;2;0,00
Sdružení NeKa, NK;1480;6073;0,01;2;0,00
Koalice USZ a TOP 09;1507;6040;0,01;2;0,00
Sdružení PRO 2022, NK;1627;4843;0,01;2;0,00
Koalice Zelení, Piráti a Budoucnost;1611;4480;0,01;2;0,00
Koalice SOCDEM, Piráti a TOP 09;1566;4114;0,00;2;0,00
Koalice SOCDEM a KSČM;231;3732;0,00;2;0,00
Budoucnost pro občany;1255;3112;0,00;2;0,00
Koalice KDU-ČSL a SOCDEM;279;2744;0,00;2;0,00
Občanské fórum Beskydy;1262;2631;0,00;2;0,00
Patrioti České republiky;1004;2518;0,00;2;0,00
Klub angažovaných nestraníků;40;1376;0,00;2;0,00
Sdružení ApV, NK;1411;1244;0,00;2;0,00
Koalice ODS, STAN a TOP 09;1329;942;0,00;2;0,00
Levice;74;395;0,00;2;0,00
JsmePRO!;1126;237;0,00;2;0,00
Sdružení BPS, NK;1415;9553;0,01;1;0,00
Koalice STAN, PRO Zdraví a APB;1561;9282;0,01;1;0,00
Sdružení SOCDEM, PŘÍSAHA, NK;1509;8478;0,01;1;0,00
Sdružení Zelení, SOCDEM, NK;1506;8435;0,01;1;0,00
Sdružení OMMO, NK;1515;7167;0,01;1;0,00
Koalice STAN a PRO Zdraví;1558;6379;0,01;1;0,00
Koalice KDU-ČSL, TOP 09 a LES;1538;5815;0,01;1;0,00
Koalice KSČM, Levice;251;5009;0,01;1;0,00
Koalice Suverenita a DOMOV;1512;3741;0,00;1;0,00
Sdružení PLUS, NK;1360;2907;0,00;1;0,00
SLAVIČÍN 2018 - sdružení nezávislých kandidátů;1276;2820;0,00;1;0,00
HNUTÍ SPRÁVNÁ CESTA;1279;2100;0,00;1;0,00
Sdružení BEZ-UL, NK;1607;1088;0,00;1;0,00
Koalice KDU-ČSL, ODS, Piráti a TOP 09;1588;1027;0,00;1;0,00
Koalice KAN a Monarchiste.cz;1308;937;0,00;1;0,00
BEZPEČNOST, ODPOVĚDNOST, SOLIDARITA;1179;936;0,00;1;0,00
VIZE - národní socialisté;1237;779;0,00;1;0,00
Motoristé sobě;1178;540209;0,62;0;0,00
Koalice Zelení, SOCDEM, Budoucnost a Idealisté;1604;475968;0,55;0;0,00
Koalice ND a ANS;1572;207719;0,24;0;0,00
Koalice Patrioti ČR a PŘÍSAHA;1603;195426;0,22;0;0,00
Sdružení Praha bez chaosu, NK;1516;157626;0,18;0;0,00
Fakt Brno;1246;157120;0,18;0;0,00
Koalice SOCDEM a LEČO;1555;149974;0,17;0;0,00
Koalice Svobodní a Brno+;1503;102015;0,12;0;0,00
Koalice Rozumní, Suverenita a DOMOV;1587;100579;0,12;0;0,00
Koalice KSČM, SPOZ, Suverenita a DOMOV;1504;89436;0,10;0;0,00
Společnost proti developerské výstavbě v Prokopském údolí;1041;71216;0,08;0;0,00
Sdružení Levice, NK;393;56224;0,06;0;0,00
Koalice KONS, KAN, Monarchiste.cz a Soukromníci;1571;52497;0,06;0;0,00
ŠVÝCARSKÁ DEMOKRACIE - Švýcaři si užívají nejvyšší kvality života na světě …;752;33828;0,04;0;0,00
Sdružení Svobodní, PRO 2022, NK;1590;32908;0,04;0;0,00
Slezská lidem;1196;26647;0,03;0;0,00
HRADEČÁCI;1256;26334;0,03;0;0,00
Sdružení PRO Zdraví, Trikolora, NK;1570;25779;0,03;0;0,00
Koalice SOCDEM a Levice;233;22531;0,03;0;0,00
SPOLEK ZA ZDRAVOU JIHLAVU;1268;21428;0,02;0;0,00
Koalice DSSS a BEZ-UL;600;21211;0,02;0;0,00
Koalice Trikolora a Soukromníci;1446;19508;0,02;0;0,00
Správná Volba;1269;16615;0,02;0;0,00
Za lepší Střekov;1195;14807;0,02;0;0,00
Koalice SOCDEM, KSČM a SPOZ;1510;14611;0,02;0;0,00
Koalice ODS a TnT;1319;13980;0,02;0;0,00
Koalice KSČM a DOMOV;1524;11774;0,01;0;0,00
Sdružení Manifest.cz, NK;1616;11013;0,01;0;0,00
Sdružení SNK ED, PŘÍSAHA, NK;1624;10287;0,01;0;0,00
VOLNÝ blok;1271;10234;0,01;0;0,00
Koalice Trikolora a PŘÍSAHA;1609;9389;0,01;0;0,00
Koruna Česká (monarchistická strana Čech, Moravy a Slezska);55;9050;0,01;0;0,00
Koalice KSČM a SPOZ;1424;8085;0,01;0;0,00
Sdružení PŘÍSAHA, PRO 2022, NK;1598;7850;0,01;0;0,00
Koalice Svobodní a PRO 2022;1601;7616;0,01;0;0,00
Sdružení SOCDEM, Moravané, NK;1621;7522;0,01;0;0,00
Koalice Svobodní a Trikolora;1575;7389;0,01;0;0,00
SRDCEM PRO ...;1270;5168;0,01;0;0,00
Volt Česko;1272;4816;0,01;0;0,00
ROMA LUMA;1252;4588;0,01;0;0,00
Koalice SOCDEM a Piráti;1540;4350;0,00;0;0,00
Koalice Suverenita, BEZ-UL a DOMOV;1568;4301;0,00;0;0,00
ZA SPORT A ZDRAVÝ MĚLNÍK;1275;4285;0,00;0;0,00
Sdružení Svobodní, SPD, NK;1543;3643;0,00;0;0,00
„Jirkov 21. století“;145;3354;0,00;0;0,00
Koalice BEZ-UL a PES;1625;3287;0,00;0;0,00
Koalice ODS, Soukromníci a TOP 09;1533;3022;0,00;0;0,00
Koalice KONS, Monarchiste.cz, Svobodní a Soukromníci;1596;2966;0,00;0;0,00
Sdružení SOCDEM, Piráti, NK;1532;2876;0,00;0;0,00
Občané SPOLU;1261;2540;0,00;0;0,00
SDRUŽENÍ PRO REPUBLIKU - REPUBLIKÁNSKÁ STRANA ČECH, MORAVY A SLEZSKA;736;2331;0,00;0;0,00
Koalice KDU-ČSL, ODS, Soukromníci a TOP 09;1569;2302;0,00;0;0,00
Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET;98;2071;0,00;0;0,00
Koalice DSSS, BEZ-UL a PES;1534;2009;0,00;0;0,00
Sdružení ANS, NK;1619;1556;0,00;0;0,00
Sdružení ČSNS, NK;361;1223;0,00;0;0,00
DOST;1243;1187;0,00;0;0,00
Sdružení TOR, NK;1552;1173;0,00;0;0,00
"Urza.cz: Nechceme vaše hlasy; ke svobodě se nelze provolit… Jdeme jinou cestou — najdete ji na webu www.urza.cz";1250;1002;0,00;0;0,00
Frýdečané a Místečané;1029;957;0,00;0;0,00
Konzervativní strana;24;723;0,00;0;0,00
JSI PRO? Jistota Solidarita Investice pro budoucnost;1223;683;0,00;0;0,00
Sdružení BOS, NK;1610;517;0,00;0;0,00
Hnutí PES;1244;458;0,00;0;0,00
Sdružení PES, NK;1562;426;0,00;0;0,00
Malá strana velkých cílů;1280;395;0,00;0;0,00
Dělnická strana sociální spravedlnosti;156;232;0,00;0;0,00
Národní demokracie;79;32;0,00;0;0,00
